đảng lao động việt nam  là tên gọi của đảng được thông qua tại đâu ? | đại hội lần thứ ii (2-1951)
Trong cao trào kháng Nhật cứu nước, phong trào diễn ra mạnh mẽ ở đồng bằng Bắc Bộ và Bắc Trung bộ nhằm giải quyết nạn đói có tên là gì? | "Phá kho thóc của Nhật để giải quyết nạn đói"
Hội nghị trung ương VIII tháng 5/1941 nhấn mạnh cái gì? | Giải phóng dân tộc là nhiệm vụ bức thiết nhất
Đảng chủ trương thành lập mặt trận Việt Minh vì mục đích gì? | Để đoàn kết, tập hợp lực lượng cách mạng nhằm giải phóng dân tộc.
Chống phát xít, chống chiến tranh đế quốc, chống bọn phản động thuộc địa và tay sai là nhiệm vụ cách mạng được Đảng đề ra trong giai đoạn nào? | 1936-1939
Điều kiện nào không tạo ra khả năng đấu tranh công khai, hợp pháp cho phong trào vận động dân chủ Đông Dương (1936-1939) | Mặt trận nhân dân Pháp tan vỡ, chính quyền thực dân Pháp ở Việt Nam thi hành chính sách phát xít.
Hội nghị nào đã quyết định phát động toàn dân nổi dậy tổng khởi nghĩa giành chính quyền? | Hội nghị toàn quốc của Đảng
Mục tiêu cụ thể trước mắt của phong trào vận động dân chủ Đông dương (1936-1939) là gì? | Các quyền tự do, dân chủ, cơm áo và hòa bình
Đoàn kết, tập hợp lực lượng cách mạng nhằm giải phóng dân tộc" là chủ trương của Đảng trong việc thành lập tổ chức nào? | Mặt trận Việt Minh
Nhân dân ta phải tiến hành tổng khởi nghĩa giành chính quyền trước khi quân Đồng minh vào Đông Dương vì: | Tất cả các lý do
Lê Hồng Phong được bầu làm Tổng bí thứ tại Đại hội nào của Đảng? | Đại hội đại biểu toàn quốc lần thứ I
Đấu tranh đòi tự do, dân chủ cơm áo và hòa bình" là nhiệm vụ của cách mạng Đông Đương được xác định trong thời gian nào? | 1936-1939
Nội dung nào sai trong Hội nghị Trung ương VIII của Đảng (tháng 5 năm 1941)? | Chuẩn bị điều kiện để "đánh đổ địa chủ, chia ruộng đất cho dân cày".
Hội nghị của Ban chấp hành Trung ương nào sau đây nhấn mạnh giải phóng dân tộc là nhiệm vụ bức thiết nhất? | Hội nghị trung ương VIII tháng 5/1941
Chính phủ lâm thời nước Việt Nam dân chủ cộng hòa ra đời từ tổ chức nào? | Ủy ban dân tộc giải phóng Việt Nam
Để tranh thủ thời gian chống Pháp, Đảng chủ trương quan hệ với quân Tưởng Giới Thạch theo khẩu hiệu | Hoa Việt thân thiện
Mỹ Diệm không thực thi hiệp định Giơ-ne-vơ bằng cách | Ngăn cản hiệp thương, tổng tuyển cử thống nhất đất nước
Trong cương lĩnh thứ ba - Chính cương của Đảng Lao động Việt Nam (2/1951), Đảng ta đã khẳng định nhận thức của mình về triển vọng của cách mạng Việt Nam là: | Tiến tới chủ nghĩa xã hội
Tháng 01/1959, Hội nghị Trung ương lần thứ 15 ra nghị quyết về cách mạng miền Nam, Hội nghị xác định | Con đường phát triển cơ bản của cách mạng Việt Nam ở miền Nam là khởi nghĩa giành chính quyền về tay nhân dân
Mặt trận dân tộc giải phóng miền Nam ra đời vào thời gian nào sau đây | 20/12/1960
Thời gian và địa điểm diễn ra Đại hội lần thứ 2 của Đảng là | Tháng 2/1951 tại Vinh Quang - Chiêm Hóa - Tuyên Quang
Ngày 19/10/1946, Ban Thường vụ Trung ương Đảng mở Hội nghị quân sự toàn quốc lần thứ nhất, do Tổng Bí thư Trường Chinh chủ trì, Hội nghị xác định | "Không sớm thì muộn, Pháp sẽ đánh mình và mình nhất định phải đánh Pháp"
Đại hội Đảng lần thứ II xác định nhiệm vụ của cách mạng Việt Nam là | Đánh đuổi bọn đế quốc xâm lược, xóa bỏ những di tích phong kiến và nửa phong kiến, phát triển chế độ dân chủ nhân dân.
Ngay sau khi cách mạng Tháng Tám 1945 thành công Thực dân Pháp được Đảng coi là kẻ thù như thế nào? | Kẻ thù chính
Nguyên nhân căn bản nhất dẫn đến sự thắng lợi của cuộc kháng chiến chống Pháp là | Có sự lãnh đạo của Đảng với đường lối kháng chiến đúng.
Đại hội II Đảng Lao động Việt Nam vạch ra hai đối tượng của cách mạng Việt Nam là: | Đế quốc Pháp, bọn can thiệp Mỹ và phong kiến phản động
Chính cương của Đảng lao động Việt Nam đã nêu ra các nhiệm vụ cơ bản của cách mạng Việt Nam là: | Đánh đuổi bọn đế quốc xâm lược, giành độc lập và thống nhất thật sự cho dân tộc; Xóa bỏ những di tích phong kiến và nửa phòng kiến, làm cho người cày có ruộng; Phát triển chế độ dân chủ nhân dân, gây cơ sở cho chủ nghĩa xã hội
Chính cương của Đảng lao động Việt Nam tháng 2/1951 đã nêu ra các tính chất của xã hội Việt Nam là xã hội: | Dân chủ nhân dân, một phần thuộc địa và nửa phong kiến
Kỳ bầu cử Quốc hội đầu tiên của nước Việt Nam dân chủ cộng hòa được diễn ra vào thời gian nào? | 6/1/1946
Đại hội II của Đảng Lao động Việt Nam vạch ra tính chất của xã hội Việt Nam là | Dân chủ nhân dân, một phần thuộc địa và nửa phong kiến.
Văn kiện nào dưới đây được coi như Cương lĩnh kháng chiến của Đảng ta: | Tất cả
Tình hình đất nước ta sau cách mạng tháng tám năm 1945 được ví như | Ngàn cân treo sợi tóc
Hội nghị nào của Đảng mở đường cho phong trào "Đồng khởi" ở miền Nam năm 1960 | Hội nghị Trung ương 15 khóa II của Đảng (1/1959)
Lực lượng tạo nên động lực cho cách mạng Việt Nam được nêu ra trong Chính cương của Đảng lao động Việt Nam là | Công nhân, nông dân, tiểu tư sản, tư sản dân tộc, địa chủ yêu nước (nhân dân)
Đại hội lần thứ III (9-1960) Đảng Lao động Việt Nam khẳng định nhiệm vụ cách mạng giữ vai trò quyết định nhất đó là: | Cách mạng xã hội chủ nghĩa ở miền Bắc
Hiệp định Giơ-ne-vơ về chấm dứt chiến tranh, lập lại hòa bình ở Đông Dương được ký kết vào thời gian nào sau đây? | 20/7/1954
Hội nghị lần thứ VII (3/1955) và Hội nghị lần thứ VIII (8/1955) của Trung ương Đảng đã nhận định: Muốn chống Mỹ và tay sai, hoàn thành độc lập và dân chủ, thì điều cốt lõi phải làm đó là | Ra sức củng cố miền Bắc, đồng thời giữ vững và đẩy mạnh cuộc đấu tranh của nhân dân miền Nam
Khi nói về triển vọng của cuộc kháng chiến chống Pháp, Đảng xác định trong Đường lối kháng chiến là | Mặc dù lâu dài, gian khổ, khó khăn song nhất định thắng lợi.
Đại hội III (9-1960) của Đảng đã thông qua đường lối nào? | Đường lối cách mạng xã hội chủ nghĩa ở miền Bắc và cách mạng dân tộc dân chủ nhân dân ở miền Nam
Đường lối kháng chiến toàn diện được Đảng xác định là | Đánh địch về mọi mặt chính trị, quân sự, kinh tế, văn hóa, ngoại giao
Bản chỉ thị "Kháng chiến, kiến quốc" ngày 25/11/1945 của trung ương Đảng đã xác định ai là kẻ thù chính của cách mạng Việt Nam lúc này? | Thực dân Pháp
Đại hội Đảng lần thứ II xác định con đường đi lên chủ nghĩa xã hội là một quá trình | Đấu tranh lâu dài, đại thể trải qua ba giai đoạn
Hiệp định sơ bộ được Hồ Chí Minh ký với Sanh-tơ-ny vào thời gian nào sau đây | 6/3/1946
Sau khi Mỹ thực hiện chiến lược "chiến tranh cục bộ", Đảng xác định nhiệm vụ cách mạng của miền Bắc là | Chuyển hướng xây dựng kinh tế, bảo đảm tiếp tục xây dựng miền Bắc vững mạnh trong điều kiện có chiến tranh
Chỉ thị "Toàn dân kháng chiến" của Đảng được công bố vào thời gian nào? | 12/12/1946
Hiệp nghị Giơnevơ về chấp dứt chiến tranh và lập lại hòa bình ở Đông Dương được, đánh dấu kết thúc cuộc kháng chiến chống thực dân Pháp được ký kết vào thời gian nào? | Ngày 20-7-1954
Bản hiến pháp đầu tiên của nước Việt Nam dân chủ cộng hòa được thông qua vào thời gian nào sau đây | 11/1946
Chính cương Đảng Lao động Việt Nam đã nêu ra các nhiệm vụ cơ bản gì cho cách mạng Việt Nam | Tất cả các phương án
Thủ đô Hà Nội được hoàn toàn giải phóng vào thời gian nào sau đây? | 10/10/1954
Hiệp định Pa-ri về chấm dứt chiến tranh lập lại hòa bình ở Việt Nam được ký kết vào thời gian nào sau đây: | 27/1/1973
Tháng 12 năm 1957, Đảng xác định đường lối tiến hành đồng thời hai chiến lược cách mạng là: | Miền Bắc tiến dần lên chủ nghĩa xã hội. Tiếp tục đấu tranh để thực hiện thống nhất nước nhà.
Nội dung nào không đúng trong các bài học được rút ra từ cuộc kháng chiến chống Mỹ cứu nước? | Thực hiện chiến tranh tổng lực chính quy linh hoạt sáng tạo.
Để tránh sự chú ý và đàn áp của Pháp, Đảng ta đã tuyên bố tự giải tán và đổi tên thành Hội nghiên cứu chủ nghĩa Mác ở Đông Dương vào thời gian nào? | Năm 1960
Nghị quyết về đường lối cách mạng miền Nam được thông qua tại Đại hội nào của Đảng sau đây: | Đại hội III
Đường lối kháng chiến chống thực dân Pháp xâm lược của Đảng (1946-1954) là | Toàn dân, toàn diện, lâu dài và tự lực cánh sinh
Tại hội nghị nào đường lối kháng chiến chống Mỹ trên cả nước được ra đời? | Tất cả các Hội nghị
Đại hội III (9-1960) đã hoàn chỉnh đường lối cách mạng Việt Nam trong giai đoạn mới, nội dung nào đúng | Cách mạng Việt Nam trong giai đoạn hiện tại có hai nhiệm vụ chiến lược tiến hành đồng thời: Một là, cách mạng XHCN ở miền Bắc; hai là, cách mạng giải phóng miền Nam, thống nhất nước nhà
Đảng ta đã phát động phong trào gì để ủng hộ nhân lực cho Nam Bộ kháng chiến chống Pháp, từ ngày 23-9-1945? | Nam tiến
Hội nghị Trung ương Đảng lần thứ 11 tháng 03 năm 1965 và Hội nghị Trung ương Đảng lần thứ 12 tháng 12 năm 1965 đề ra khẩu hiệu chung của nhân dân cả nước là | Tất cả để đánh thắng giặc Mỹ xâm lược
Quan điểm nào sau đây của Đảng về nhiệm vụ và mối quan hệ giữa hai miền sau khi Mỹ thực hiện "chiến tranh cục bộ" | Trong cuộc chiến tranh chống Mỹ của nhân dân cả nước, miền Nam là tiền tuyến lớn, miền Bắc là hậu phương lớn. Bảo vệ miền Bắc là nhiệm vụ của cả nước.
Chỉ thị "Kháng chiến kiến quốc" của Đảng vạch ra khẩu hiệu chỉ đạo chiến lược là | Dân tộc trên hết, Tổ quốc trên hết
Trong 21 năm chiến tranh ở Việt Nam, đế quốc Mỹ đã đã sử dụng mấy chiến lược chiến tranh? | 4 chiến lược
Bản chỉ thị "Kháng chiến, kiến quốc" ngày 25/11/1945 của trung ương Đảng đã xác định nhiệm vụ chủ yếu và cấp bách của cách mạng Việt Nam lúc này là | Củng cố chính quyền, chống thực dân Pháp xâm lược, bài trừ nội phản, cải thiện đời sống nhân dân.
Đường lối toàn quốc kháng chiến tập trung trong ba văn kiện quan trọng đó là | Toàn dân kháng chiến, Lời kêu gọi toàn quốc kháng chiến, Kháng chiến nhất định thắng lợi
Chỉ thị kháng chiến kiến quốc ngày 25 -11 - 1945 của Đảng xác định mục tiêu của cách mạng là | "Dân tộc trên hết, Tổ quốc trên hết"
Tình hình nước ta được ví như "ngàn cân treo sợi tóc" vào thời gian nào? | Ngay sau cách mạng Tháng Tám 1945 thành công
Đường lối kháng chiến "Dựa vào sức mình là chính" được Đảng xác định là | "phải tự cấp, tự túc về mọi mặt"
Sau khi giành được độc lập, Đảng xác định kẻ thù chính của cách mạng Việt Nam là: | Thực dân Pháp
Đảng cộng sản Đông Dương đươc đổi tên thành Đảng Lao động Việt Nam vào năm: | 1951
Đại hội lần thứ III của Đảng họp tại thủ đô Hà Nội từ ngày 5 đến ngày 10/09/1960. Đại hội đã hoàn chỉnh đường lối chiến lược chung của cách mạng Việt Nam trong giai đoạn mới và vạch ra hai nhiệm vị chiến lược đó là | Tiến hành cách mạng xã hội chủ nghĩa ở miền Bắc. Giải phóng miền Nam khỏi ách thống trị của đế quốc Mỹ và bọn tay sai, thực hiện thống nhất nước nhà, hoàn thành độc lập và dân chủ trong cả nước
Mối quan hệ giữa hai nhiệm vụ cách mạng của hai miền được Đại hội III của Đảng xác định là | Hai nhiệm vụ chiến lược ấy có quan hệ mật thiết với nhau và có tác dụng thúc đẩy lẫn nhau
Chỉ thị kháng chiến kiến quốc" ngày 25-11-1945 của Đảng xác định kẻ thù chính của ta lúc này là | Thực dân Pháp
Bản chỉ thị "Kháng chiến, kiến quốc" ngày 25/11/1945 của trung ương Đảng xác định tính chất của cách mạng Việt Nam là | Cách mạng dân tộc giải phóng
Sau khi giành chính quyền, Đảng chủ trương mở rộng mặt trận nào sau đây để tập trung ngọn lửa đấu tranh chống Pháp | Mặt trận Việt Minh
Chỉ thị "Kháng chiến kiến quốc" của Trung ương Đảng ngày 25/11/1945, xác định nhiệm vụ nào là trung tâm, bao trùm nhất? | Củng cố, bảo vệ chính quyền cách mạng
Sau khi Mỹ thực hiện chiến lược "Chiến tranh cục bộ", đảng nhận định tình hình | Đây là cuộc chiến tranh xâm lược thực dân mới, buộc phải thực thi trong thế thua, thế thất bại và bị động cho nên nó chứa đựng đầy mâu thuẫn chiến lược
Nước ta được các nước XHCN đặt quan hệ ngoại giao năm | 1950
Tại Đại hội lần thứ II Đảng cộng sản Đông Dương quyết định tách ra thành ba Đảng cách mạng ở ba nước Đông Dương. Ở Việt Nam, Đảng ra hoạt động công khai lấy tên là | Đảng Lao động Việt Nam
Thắng lợi của cuộc kháng chiến chống Mỹ cứu nước đã cho ta nhiều bài học quý, bài học nào dưới đây sai | Giương cao ngọn cờ độc lập dân tộc và dân chủ cộng hòa
Đại hội Đảng lần thứ II xác định đối tượng của cách mạng Việt Nam là | Có hai đối tượng, đối tượng chính là chủ nghĩa đế quốc xâm lược, cụ thể lúc này là đế quốc Pháp và bọn can thiệp Mỹ. Đối tượng phụ hiện nay là phong kiến, cụ thể lúc này là phong kiến phản động
Đường lối toàn quốc kháng chiến của Đảng vạch ra mục tiêu của kháng chiến là | Đánh phản động thực dân Pháp xâm lược, giành thống nhất và độc lập
Để thực hiện chính sách "Tố cộng, diệt cộng" Ngô Đình Diệm đưa ra | Luật 10/59
Lời kêu gọi toàn quốc kháng chiến của Chủ tịch Hồ Chí Minh được phát ra vào thời gian nào? | 19-12-1946
Đại hội VI của Đảng nhận ra sai lầm của đường lối công nghiệp hoá trước thời kỳ đổi mới như sau | Do tư tưởng chỉ đạo chủ quan, nóng vội, muốn xóa bỏ những bước đi cần thiết nên đã chủ trương đẩy mạnh công nghiệp hóa trong khi chưa có đủ các tiền đề cần thiết, mặt khác chậm đổi mới cơ chế quản lý kinh tế.
Nội dung nào không đúng trong các nguyên nhân cơ bản dẫn đến công nghiệp hóa trước thời kỳ đổi mới không thành công | Công nghiệp hóa từ một nền kinh tế có trình độ phát triển cao nhưng lại không thể tập trung sức người, sức của cho công nghiệp hóa
Đại hội IV của Đảng (tháng 12/1976), trên cơ sở phân tích toàn diện tình hình trong nước và quốc tế, đề ra đường lối công nghiệp hóa xã hội chủ nghĩa là | "Đẩy mạnh công nghiệp hóa xã hội chủ nghĩa, xây dựng cơ sở vật chất - kỹ thuật của chủ nghĩa xã hội, đưa nền kinh tế nước ta từ nền sản xuất nhỏ lên sản xuất lớn xã hội chủ nghĩa"
Đại hội VI đã phê phán những sai lầm trong nhận thức và chủ trương công nghiệp hóa thời kỳ 1960 - 1985. Nội dung nào không đúng | Bố trí cơ cấu kinh tế dựa trên ý chí muốn phát triển chậm
Nội dung nào không phải là nội dung cơ bản của quá trình công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế tri thức? | Khoa học và công nghệ là nền tảng và động lực của công nghiệp hóa, hiện đại hóa
Đại hội VI của Đảng đánh giá việc thực hiện Nghị quyết Đại hội lần thứ V của Đảng về công nghiệp hóa là | Chưa thật sự coi nông nghiệp là mặt trận hàng đầu, công nghiệp nặng không phục vụ kịp thời nông nghiệp và công nghiệp nhẹ
Nội dung nào không phải là đặc trưng chủ yếu của công nghiệp hóa thời kỳ trước đổi mới? | Xây dựng cơ cấu kinh tế hiện đại và hợp lý theo ngành, lĩnh vực, lãnh thổ
Đâu là lợi thế so sánh của nước ta trong giai đoạn 1960-1985 được xác định là nguồn lực của công nghiệp hóa, hiện đại hóa | CNH chủ yếu dựa vào lợi thế về lao động, tài nguyên, đất đai và nguồn viện trợ của các nước XHCN
Chủ trương "Đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước" được đề ra từ Đại hội nào sau đây của Đảng | Đại hội VIII
Đại hội VIII đưa ra luận điểm quan trọng về công nghiệp hóa là | Giai đoạn chuẩn bị các tiền đề công nghiệp hóa đất nước đã cơ bản hoàn thành, cho phép ta chuyển sang giai đọan đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước
Để rút ngắn thời gian công nghiệp hóa, hiện đại hóa đất nước cần phải có các điều kiện đó là | Tất cả các phương án trả lời đều đúng
Quan điểm công nghiệp hóa, hiện đại hóa nào sau đây của Đảng là đúng | Khoa học và công nghệ là nền tảng và động lực của công nghiệp hóa, hiện đại hóa
Nội dung nào sau đây là quan điểm của Đảng về công nghiệp hóa, hiện đại hóa | Công nghiệp hóa gắn với hiện đại hóa và công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế tri thức
Thực chất của công nghiệp hóa, hiện đại hóa ở nước ta là | Thay thế lao động thủ công lạc hậu bằng lao động với phương tiện, phương pháp tiên tiến, hiện đại
Đại hội VI đã phê phán những sai lầm trong nhận thức về chủ trương công nghiệp hóa, hiện đại hóa thời kỳ 1960-1985 | Không tập trung sức giải quyết về cơ bản vấn đề lương thực, thực phẩm, hàng tiêu dùng và hàng xuất khẩu
Về thời gian tiến hành công nghiệp hóa, hiện đại hóa, Đảng xác định | Công nghiệp hóa, hiện đại hóa ở nước ta cần thiết và có thể rút ngắn thời gian so với các nước đi trước
Trong nông nghiệp, nông thôn hiện nay không có sự tham gia của thành phần kinh tế nào? | Kinh tế nông nghiệp
Đảng ta xác định công nghiệp hóa XHCN là | Trung tâm trong suốt thời kỳ quá độ lên CNXH ở Việt Nam
Nội dung nào không phải là quan điểm cơ bản của Đảng về công nghiệp hoá, hiện đại hoá? | Cải biến nước ta thành một nước xã hội chủ nghĩa tiên tiến có cơ sở vật chất kỹ thuật hiện đại
Trong nền kinh tế thị trường định hướng XHCN, công nghiệp hóa, hiện đại hóa được Đảng xác định là | Sự nghiệp của toàn dân, của mọi thành phần kinh tế, trong đó kinh tế nhà nước là chủ đạo
Đại hội VI của Đảng (12/1986) cụ thể hóa nội dung của công nghiệp hóa là | Thực hiện cho được 3 chương trình mục tiêu về: lương thực - thực phẩm, hàng tiêu dùng và hàng xuất khẩu
Đại hội VI của Đảng nhận ra sai lầm của đường lối công nghiệp hoá thời kỳ trước đổi mới về bố trí cơ cấu kinh tế đó là | Thiên về công nghiệp nặng và những công trình quy mô lớn, không tập trung sức giải quyết các vấn đề căn bản về lương thực, thực phẩm, hàng tiêu dùng và hàng xuất khẩu.
Khi nói tới nguồn lực con người là nói tới | Chủ thể hoạt động sáng tạo tham gia cải tạo tự nhiên, làm biến đổi xã hội
Một trong những nguyên nhân của những hạn chế trong quá trình công nghiệp hóa hiện đại hóa thời kỳ đổi mới ở nước ta là | Nhiều chính sách và giải pháp chưa đủ mạnh để huy động và sử dụng tốt nhất các nguồn lực, cả nội lực và ngoại lực vào công cuộc phát triển kinh tế - xã hội
Hội nghị lần thứ 7 Ban chấp hành Trung ương Đảng khoá III (tháng 4/1962) nêu phương hướng chỉ đạo và phát triển công nghiệp là | Ưu tiên phát triển công nghiệp nặng một cách hợp lý
Đường lối công nghiệp hóa ở nước ta lần đầu tiên được đề ra ở Đại hội Đảng nào? | Đại hội III
Đặc trưng nào là sai trong công nghiệp hóa thời kỳ trước đổi mới | Ham làm nhanh, làm lớn, rất quan tâm đến hiệu quả kinh tế - xã hội.
Đại hội nào của Đảng chủ trương: Phấn đấu để sớm đưa nước ta ra khỏi tình trạng kém phát triển và cơ bản trở thành nước công nghiệp theo hướng hiện đại vào năm 2020? | Đại hội X
Đảng nhận ra hạn chế trong cải cách hành chính là | Cải cách hành chính còn chậm và kém hiệu quả. Công tác tổ chức, cán bộ chậm đổi mới, chưa đáp ứng yêu cầu
Thực chất của công nghiệp hóa, hiện đại hóa ở nước ta là | Các phương án trả lời đều đúng
Tiêu chuẩn cơ bản để xác định phương án phát triển, lựa chọn dự án đầu tư và công nghệ trong quá trình công nghiệp hóa, hiện đại hóa là yếu tố | Hiệu quả kinh tế-xã hội
Để đẩy mạnh ứng dụng tiến bộ Khoa học công nghệ trong nông nghiệp, nông thôn không cần thực hiện nội dung nào dưới đây | Hợp tác hóa
Nội dung nào không đúng trong đặc trưng chủ yếu của đường lối công nghiệp hoá thời kỳ trước đổi mới? | Công nghiệp hóa được thực hiện thông qua cơ chế thị trường định hướng xã hội chủ nghĩa.
Đại hội lần thứ VI của Đảng (12/1986) đã đề ra nội dung cơ bản của công nghiệp hóa những năm còn lại trong chặng đường đầu tiên của thời kỳ quá độ ở nước ta là: | Thực hiện ba chương trình kinh tế: Lương thực, thực phẩm, hàng tiêu dùng và hàng xuất khẩu
Đặc trưng nào sau đây nói lên bệnh duy ý chí của Đảng trước thời kỳ đổi mới | Ham làm nhanh, làm lớn, không quan tâm đến hiệu quả kinh tế - xã hội.
Bước đột phá trong nhận thức về công nghiệp hóa được đề ra trong nhiệm kỳ của Đại hội nào của Đảng sau đây | Đại hội VII
Đại hội X của Đảng năm 2006 đã đánh giá vai trò của kinh tế tri thức như thế nào? | Kinh tế tri thức có vai trò ngày càng nổi bật trong quá trình phát triển lực lượng sản xuất.
Đại hội X xác định mục tiêu cụ thể đẩy mạnh công nghiệp hoá, hiện đại hóa là | Công nghiệp hoá, hiện đại hoá gắn với phát triển kinh tế tri thức để sớm đưa nước ta ra khỏi tình trạng kém phát triển; tạo nền tảng đến năm 2020 đưa nước ta cơ bản trở thành nước công nghiệp theo hướng hiện đại.
Đại hội III xác định mục tiêu cơ bản của công nghiệp hóa XHCN là: | Xây dựng nền kinh tế cân đối và hiện đại, bước đầu xây dựng cơ sở vật chất kỹ thuật của chủ nghĩa xã hội.
Nội dung nào được Đảng ta xác định sẽ cơ bản hoàn thành vào năm 2020 | Cơ bản trở thành một nước công nghiệp, theo hướng hiện đại
Đại hội VI của Đảng đã cụ thể hóa nội dung chính của công nghiệp hóa xã hội chủ nghĩa trong những năm còn lại của chặng đường đầu tiên thời kỳ quá độ là thực hiện cho được ba chương trình mục tiêu | Lương thực, thực phẩm, hàng tiêu dùng và hàng xuất khẩu
Phương hướng phát triển công nghiệp hóa, hiện đại hóa được Đại hội X của Đảng xác định đó là | Hướng công nghiệp hóa, hiện đại hóa ở nước ta là phát triển nhanh, hiệu quả các sản phẩm các ngành, các lĩnh vực có lợi thế, đáp ứng nhu cầu trong nước và xuất khẩu
Trong các nguồn lực để tiến hành công nghiệp hóa, hiện đại hóa, Đảng xác định nguồn lực nào sau đây được xem là cơ bản cho sự phát triển nhanh và bền vững | Con người
Định hướng nào của Đảng về công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế tri thức dưới đây là đúng | Chuyển dịch cơ cấu lao động nông thôn theo hướng giảm nhanh tỷ trọng lao động nông nghiệp, tăng tỷ trọng lao động công nghiệp và dịch vụ
Về định hướng phát triển nhanh hơn công nghiệp, xây dựng trong thời kỳ công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế tri thức, Đảng khẳng định | Khuyến khích phát triển công nghiệp công nghệ cao, công nghiệp chế tác, công nghiệp phần mềm và công nghiệp bổ trợ có lợi thế cạnh tranh
Nội dung nào không phải là đặc trưng chủ yếu của công nghiệp hóa thời kỳ trước đổi mới | Tiến hành công nghiệp hóa thông qua cơ chế hạch toán kinh doanh xã hội chủ nghĩa
Trong nền kinh tế tri thức, những ngành kinh tế có tác động to lớn tới sự phát triển là những ngành | Dựa nhiều vào tri thức, dựa vào các thành tựu mới của khoa học, công nghệ.
Đường lối công nghiệp hóa ở nước ta lần đầu tiên được đề ra ở Đại hội nào của Đảng sau đây | Đại hội III (9/1960)
Khi đề cập đến việc rút ngắn thời gian công nghiệp hóa, hiện đại hóa đất nước, Đại hội X khẳng định | Phải coi kinh tế tri thức là yếu tố quan trọng của nền kinh tế và công nghiệp hóa, hiện đại hóa.
Đặc trưng cơ bản của đường lối công nghiệp hoá, hiện đại hoá trước thời kỳ đổi mới là | Công nghiệp hóa theo mô hình nền kinh tế khép kín, hướng nội và thiên về phát triển công nghiệp nặng.
Trong các yếu tố được xem là động lực của công nghiệp hóa, hiện đại hóa, Đảng xác định | Khoa học công nghệ
Đại hội IV của Đảng (12/1976) nêu đường lối công nghiệp hóa XHCN là | Tất cả các phương án trả lời đều đúng
Khi nói về công nghiệp hóa, hiện đại hóa Đảng đưa ra quan điểm của mình là | Lấy phát huy nguồn lực con người là yếu tố cơ bản cho sự phát triển nhanh và bền vững.
Hội nghị lần thứ VII Ban Chấp hành Trung ương khóa VII (tháng 1/1994) nhận thức về khái niệm công nghiệp hóa, hiện đại hóa là | "Công nghiệp hóa, hiện đại hóa là quá trình chuyển đổi căn bản, toàn diện các hoạt động sản xuất, kinh doanh, dịch vụ và quản lý kinh tế, xã hội từ sử dụng lao động thủ công là chính sang sử dụng một cách phổ biến sức lao động với công nghệ, phương tiện và phương pháp tiên tiến, hiện đại, dựa trên sự phát triển của công nghiệp và tiến bộ của khoa học - công nghệ, tạo ra năng xuất lao động xã hội cao".
Một trong những mục tiêu của công nghiệp hóa, hiện đại hóa nông nghiệp nông thôn là | Gắn nông nghiệp với công nghiệp chế biến và thị trường
Nội dung nào không phải là mục tiêu của công nghiệp hóa, hiện đại hóa? | Bảo đảm xây dựng nền kinh tế độc lập tự chủ, chủ động hội nhập kinh tế quốc tế
Hướng chuyển dịch kinh tế nào sau đây là không phù hợp với công nghiệp hóa, hiện đại hóa nông nghiệp nông thôn | Đẩy nhanh tiến bộ khoa học kỹ thuật và công nghệ sinh học vào sản xuất công nghiệp
Quan điểm nào sau đây không đúng? | Thể chế KTTT định hướng XHCN là bộ quy tắc chế định các chủ thể thị trường phải thực hiện các chỉ tiêu pháp lệnh
Đặc điểm nào sau đây được Đảng ta xác định là nguyên nhân sinh ra đội ngũ quản lý kém năng lực trong bộ máy quản lý nhà nước về kinh tế | Bộ máy quản lý cồng kềnh, nhiều cấp trung gian.
Nội dung nào không thuộc đặc điểm chủ yếu của kinh tế thị trường định hướng xã hội chủ nghĩa? | Các cơ quan hành chính can thiệp sâu vào hoạt động sản xuất, kinh doanh của các doanh nghiệp
Mục tiêu hàng đầu của phát triển kinh tế thị trường ở nước ta là | Giải phóng lực lượng sản xuất, huy động mọi nguồn lực cho công nghiệp hóa, hiện đại hóa, cải thiện đời sống nhân dân
Để hoàn thiện thể chế kinh tế thị trường định hướng XHCN, chủ trương nào sau đây của Đảng phù hợp nhất? | Hoàn thiện thể chế đảm bảo đồng bộ các yếu tố thị trường và phát triển đồng bộ các loại thị trường.
Sự khác biệt cơ bản, giữa kinh tế thị trường định hướng xã hội chủ nghĩa với kinh tế thị trường tư bản chủ nghĩa thể hiện ở nội dung nào sau đây: | Vai trò chủ đạo của kinh tế nhà nước
Theo quan điểm của Đại hội Đảng | 4 thành phần kinh tế
Doanh nghiệp phải tự chịu lỗ, lãi" là quan điểm phản ánh đúng chủ trương nào sau đây của Đảng: | Các chủ thể kinh tế phải có tính độc lập.
Chế độ phân phối trong thời kỳ trước đổi mới thông qua: | Tem phiếu
Chủ trương nào sau đây của Đảng là đúng: | Thống nhất nhận thức về nền kinh tế thị trường định hướng xã hội chủ nghĩa.
